coluna_original_excel,coluna_normalizada,tipo_mapeamento,observacao
DATA DO INÍCIO DA CONSULTA,data_inicio_consulta,principal,
INICIO DA CONSULTA,hora_inicio_consulta,principal,
INÍCIO DA CONSULTA,hora_inicio_consulta,alias,
DATA DO FINAL DA CONSULTA,data_fim_consulta,principal,
FINAL DA CONSULTA,hora_fim_consulta,principal,
DATA DE NASCIMENTO,data_nascimento,principal,
IDADE,faixa_etaria,principal,
IDADE.1,idade_numerica,principal,
SEXO (F / M),sexo,principal,
CID Admissão,cid_admissao,principal,
FLUXOGRAMA UTILIZADO NA CR,fluxograma,principal,
DESCRIMINADOR,discriminador,principal,
PRIORIDADE,prioridade,principal,
Desc. CID Admissão,desc_cid_admissao,principal,
SETOR DESTINADO,setor_destinado,principal,
Data Diagnóstico Admissão,data_diag_admissao,principal,
Desc. CID Alta,desc_cid_alta,principal,
Data Diagnóstico Alta,data_diag_alta,principal,
COMORBIDADE  (SIM OU NÃO),comorbidade,principal,
COMORBIDADES (SIM OU NÃO),comorbidade,alias,
Diabético,diabetico,principal,
Hipertenso,hipertenso,principal,
Saúde mental,saude_mental,principal,
TABAGISTA,tabagista,principal,
ETILISTA,etilista,principal,
USO DE SPAS,uso_spas,principal,
DOENÇAS CARDÍACAS,doencas_cardiacas,principal,
DOENÇAS RESPIRATÓRIAS CRÔNICAS,doencas_respiratorias,principal,
NEOPLASIAS,neoplasias,principal,
DOENÇAS METABÓLICAS,doencas_metabolicas,principal,
TEMPO TOTAL DE PERMANÊNCIA NA UPA,tempo_permanencia,principal,
DESFECHO FINAL,desfecho,principal,
INÍCIO DA CONSULTA,hora_inicio_consulta,alias_aba,Unificado com 'INICIO DA CONSULTA'
COMORBIDADES (SIM OU NÃO),comorbidade,alias_aba,Unificado com 'COMORBIDADE  (SIM OU NÃO)'
(derivada),duracao_horas,derivada,Calculada: data/hora fim − data/hora início
(derivada),desfecho_padronizado,derivada,Agrupamento de DESFECHO FINAL
