coluna_normalizada,valor_original,valor_normalizado,n
sexo,F,F,150
sexo,M,M,178
faixa_etaria,18-40,18-40,116
faixa_etaria,40-60,40-60,85
faixa_etaria,60-80,60-80,80
faixa_etaria,80-100,80-100,47
comorbidade,NÃO,NAO,127
comorbidade,SIM,SIM,200
comorbidade,<NA>,<NA>,1
diabetico,NÃO,NAO,259
diabetico,SIM,SIM,69
hipertenso,NÃO,NAO,211
hipertenso,SIM,SIM,117
saude_mental,NÃO,NAO,248
saude_mental,SIM,SIM,80
tabagista,NÃO,NAO,221
tabagista,SIM,SIM,106
tabagista,<NA>,<NA>,1
etilista,NÃO,NAO,261
etilista,SIM,SIM,66
etilista,<NA>,<NA>,1
uso_spas,NÃO,NAO,287
uso_spas,NÃO ,NAO,1
uso_spas,SIM,SIM,39
uso_spas,<NA>,<NA>,1
doencas_cardiacas,NAO,NAO,1
doencas_cardiacas,NÃO,NAO,203
doencas_cardiacas,SIM,SIM,123
doencas_cardiacas,<NA>,<NA>,1
doencas_respiratorias,NÃO,NAO,276
doencas_respiratorias,SIM,SIM,51
doencas_respiratorias,<NA>,<NA>,1
neoplasias,NÃO,NAO,321
neoplasias,SIM,SIM,6
neoplasias,<NA>,<NA>,1
doencas_metabolicas,NÃO,NAO,222
doencas_metabolicas,NÃO ,NAO,1
doencas_metabolicas,SIM,SIM,104
doencas_metabolicas,<NA>,<NA>,1
setor_destinado,EIXO CRÍTICO,EIXO CRITICO,171
setor_destinado,EIXO DECISÃO,EIXO DECISAO,127
setor_destinado,EIXO ISOLAMENTO,EIXO ISOLAMENTO,1
setor_destinado,SUTURA,SUTURA,2
setor_destinado,<NA>,<NA>,27
tempo_permanencia,ATÉ 12H,ATE_12H,48
tempo_permanencia,ATÉ 12H ,ATE_12H,3
tempo_permanencia,ATÉ 24H,ATE_24H,60
tempo_permanencia,ATÉ 24H ,ATE_24H,9
tempo_permanencia,ATÉ 6H,ATE_6H,116
tempo_permanencia,ATÉ 6H ,ATE_6H,4
tempo_permanencia,MAIS DE 24H,MAIS_24H,37
tempo_permanencia,MAIS DE 24H ,MAIS_24H,50
tempo_permanencia,<NA>,<NA>,1
desfecho,ALTA- ÓBITO RECENTE.,ALTA- OBITO RECENTE,3
desfecho,ALTA.,ALTA,145
desfecho,CAPS.,CAPS,23
desfecho,ENCERRAMENTO ADMINISTRATIVO.,ENCERRAMENTO ADMINISTRATIVO,2
desfecho,EVASÃO.,EVASAO,23
desfecho,TRANSFERÊNCIA HOSPITALAR – ÓBITO RECENTE.,TRANSFERENCIA HOSPITALAR – OBITO RECENTE,3
desfecho,TRANSFERÊNCIA HOSPITALAR- ÓBITO RECENTE.,TRANSFERENCIA HOSPITALAR- OBITO RECENTE,9
desfecho,TRANSFERÊNCIA HOSPITALAR-ÓBITO RECENTE.,TRANSFERENCIA HOSPITALAR-OBITO RECENTE,1
desfecho,TRANSFERÊNCIA HOSPITALAR.,TRANSFERENCIA HOSPITALAR,116
desfecho,TRANSFERÊNCIA HOSPÍTALAR.,TRANSFERENCIA HOSPITALAR,1
desfecho,ÓBITO.,OBITO,1
desfecho,<NA>,<NA>,1
