valor,absoluta,relativa
DOR INTENSA,61,0.18597560975609756
ALTERACAO DO NIVEL DE CONSCIENCIA,53,0.16158536585365854
SATURACAO DE O2 MUITO BAIXA,31,0.09451219512195122
NOVO DEFICIT NEUROLOGICO HA MENOS DE 24 HORAS,27,0.08231707317073171
<NA>,21,0.06402439024390244
ALTO RISCO DE AUTOAGRESSAO,17,0.051829268292682924
ALTO RISCO DE AGREDIR OUTROS,14,0.042682926829268296
NOVO PULSO ANORMAL,12,0.036585365853658534
HIPERGLICEMIA COM CETOSE,12,0.036585365853658534
DOR PRECORDIAL OU CARDIACA,10,0.03048780487804878
SEPSE POSSIVEL,8,0.024390243902439025
MECANISMO DE TRAUMA SIGNIFICATIVO,5,0.01524390243902439
HISTORIA RESPIRATORIA SIGNIFICATIVA,5,0.01524390243902439
HEMORRAGIA MAIOR INCONTROLAVEL,4,0.012195121951219513
MORTALIDADE ALTA,4,0.012195121951219513
EXAUSTAO,4,0.012195121951219513
DOR OU COCEIRA INTENSA,4,0.012195121951219513
DOR EPIGASTRICA,3,0.009146341463414634
PFE MUITO BAIXO,3,0.009146341463414634
HISTORIA DE OVERDOSE OU ENVENENAMENTO,3,0.009146341463414634
ADULTO MUITO QUENTE,2,0.006097560975609756
DOR IRRADIADA PARA O DORSO,2,0.006097560975609756
DOR MODERADA,2,0.006097560975609756
ALTERACAO DO NIVEL DE CONSCIENCIA NAO TOTALMENTE ATRIBUIVEL AO ALCOOL,2,0.006097560975609756
FRASES ENTRECORTADAS,2,0.006097560975609756
ERUPCAO CUTANEA FIXA,2,0.006097560975609756
EDEMA DE LINGUA,2,0.006097560975609756
SANGRAMENTO VAGINAL INTENSO,2,0.006097560975609756
EVACUACAO DE SANGUE VIVO OU ESCURECIDO,1,0.003048780487804878
PURPURA,1,0.003048780487804878
SANGRAMENTO VAGINAL COM 20 SEMANAS DE GRAVIDEZ OU MAIS,1,0.003048780487804878
DISPNEIA AGUDA,1,0.003048780487804878
RISCO ESPECIAL DE INFECCAO,1,0.003048780487804878
HIPOTERMIA,1,0.003048780487804878
IDADE DE 25 ANOS OU MENOS,1,0.003048780487804878
IMUNOSSUPRESSAO CONHECIDA OU PROVAVEL,1,0.003048780487804878
HISTORIA ALERGICA IMPORTANTE,1,0.003048780487804878
EDEMA FACIAL,1,0.003048780487804878
COMPROMETIMENTO VASCULAR DISTAL,1,0.003048780487804878
