valor,absoluta,relativa
MAL-ESTAR EM ADULTO,59,0.1798780487804878
DISPNEIA,31,0.09451219512195122
CONVULSOES,27,0.08231707317073171
ALTERACAO DE COMPORTAMENTO,24,0.07317073170731707
<NA>,21,0.06402439024390244
DOR ABDOMINAL EM ADULTO,16,0.04878048780487805
DOR TORACICA,16,0.04878048780487805
OVERDOSE E ENVENENAMENTO,15,0.04573170731707317
DOENCA MENTAL,12,0.036585365853658534
ALTERACAO DO COMPORTAMENTO,10,0.03048780487804878
DIABETES,10,0.03048780487804878
DOR LOMBAR,8,0.024390243902439025
ALERGIA,8,0.024390243902439025
FERIDAS,7,0.021341463414634148
ASMA,7,0.021341463414634148
PROBLEMAS EM EXTREMIDADES,6,0.018292682926829267
PROBLEMAS EM OLHOS,5,0.01524390243902439
AUTOAGRESSAO,5,0.01524390243902439
TRAUMA MAIOR,4,0.012195121951219513
EMBRIAGUEZ APARENTE,4,0.012195121951219513
QUEDAS,4,0.012195121951219513
PROBLEMAS EM FACE,3,0.009146341463414634
PROBLEMAS URINARIOS,3,0.009146341463414634
AGRESSAO,3,0.009146341463414634
DOR DE GARGANTA,2,0.006097560975609756
QUEIMADURAS,2,0.006097560975609756
DESMAIO,2,0.006097560975609756
ERUPCAO CUTANEA,2,0.006097560975609756
CEFALEIA,2,0.006097560975609756
SANGRAMENTO VAGINAL,2,0.006097560975609756
DIARREIA E/OU VOMITOS,2,0.006097560975609756
GRAVIDEZ,1,0.003048780487804878
TRAUMA CRANIOENCEFALICO,1,0.003048780487804878
DOR TESTICULAR,1,0.003048780487804878
TRAUMA TORACOABDOMINAL,1,0.003048780487804878
PALPITACOES,1,0.003048780487804878
EXPOSICAO A AGENTES QUIMICOS,1,0.003048780487804878
